,record_name,ref_code,ref_name,ref_unit
822,Кабель ВБШвнг(А)-LS 5x2.5 (N РЕ) 0.66кВ (м) ЭЛЕКТРОКАБЕЛЬ НН 00-00006169,27.32.13.124.21.1.05.01-0062-000,"Кабель силовой гибкий с медными жилами КГ 5х2,5-660",1000 м
823,Кабель ВБШвнг(А)-LS 5х2.5 (N PE) 0.66кВ (м) ЭЛЕКТРОКАБЕЛЬ НН00-00006169,27.32.13.124.21.1.05.01-0062-000,"Кабель силовой гибкий с медными жилами КГ 5х2,5-660",1000 м
824,"Кабель ВВГнг(А)-FRLSLTx 5х2,5ок(N, PE) - 0,66",27.32.13.124.21.1.05.01-0062-000,"Кабель силовой гибкий с медными жилами КГ 5х2,5-660",1000 м
825,"Кабель ВВГнг(А)-FRLSLTx 5х2,5ок(N,PE)-0,66кВ ТУ  16.К73.108-2013 (ГОСТ 31996-2012) (Электрокабель)",27.32.13.124.21.1.05.01-0062-000,"Кабель силовой гибкий с медными жилами КГ 5х2,5-660",1000 м
826,"Кабель ВВГнг(А)-FRLSLTx 5х2,5ок(N,PE)-0,66кВ ТУ 16.К73.108-2013 (ГОСТ 31996-2012) (Электрокабель)",27.32.13.124.21.1.05.01-0062-000,"Кабель силовой гибкий с медными жилами КГ 5х2,5-660",1000 м
827,"Кабель ВВГнг(А)-FRLSLTx 5х2,5ок(N,PE)-0,66кВ ТУ 16.К73.108-2013 (ГОСТ 31996-2012) (Электрокабель)",27.32.13.124.21.1.05.01-0062-000,"Кабель силовой гибкий с медными жилами КГ 5х2,5-660",1000 м
828,Кабель ВВГнг(А)-LS 5х2.5 ок (N PE) 0.66кВ (м) ПромЭл 11853900,27.32.13.124.21.1.05.01-0062-000,"Кабель силовой гибкий с медными жилами КГ 5х2,5-660",1000 м
829,"Кабель ВВГнг(А)-LSLTx 5х2,5ок(N, PE) - 0,66",27.32.13.124.21.1.05.01-0062-000,"Кабель силовой гибкий с медными жилами КГ 5х2,5-660",1000 м
830,"Кабель ВВГнг(А)-LSLTx 5х2,5ок(N,PE)-0,66кВ ТУ  16.К73.108-2013 (ГОСТ 31996-2012) (Электрокабель)",27.32.13.124.21.1.05.01-0062-000,"Кабель силовой гибкий с медными жилами КГ 5х2,5-660",1000 м
831,"Кабель ВВГнг(А)-LSLTx 5х2,5ок(N,PE)-0,66кВ ТУ 16.К73.108-2013 (ГОСТ 31996-2012) (Электрокабель)",27.32.13.124.21.1.05.01-0062-000,"Кабель силовой гибкий с медными жилами КГ 5х2,5-660",1000 м
832,"Кабель ВВГнг(А)-LSLTx 5х2,5ок(N,PE)-0,66кВ ТУ 16.К73.108-2013 (ГОСТ 31996-2012) (Электрокабель)",27.32.13.124.21.1.05.01-0062-000,"Кабель силовой гибкий с медными жилами КГ 5х2,5-660",1000 м
833,"Кабель ВВГнг(А)-LSLТх 5x2,5 - 0,66",27.32.13.124.21.1.05.01-0062-000,"Кабель силовой гибкий с медными жилами КГ 5х2,5-660",1000 м
834,"Кабель КГ 5x2,5(N, РЕ) 380/660-2 ТУ 16.К09-064-2004 / ГОСТ 24334-2020",27.32.13.124.21.1.05.01-0062-000,"Кабель силовой гибкий с медными жилами КГ 5х2,5-660",1000 м
835,Кабель КГтп 5x2.5 (N РЕ) 380/660-3 (м) Конкорд,27.32.13.124.21.1.05.01-0062-000,"Кабель силовой гибкий с медными жилами КГ 5х2,5-660",1000 м
836,"Кабель ППГнг(А)-HF 5х2,5ок(N, PE) - 0,66",27.32.13.124.21.1.05.01-0062-000,"Кабель силовой гибкий с медными жилами КГ 5х2,5-660",1000 м
837,"Кабель ППГнг(А)-HF 5х2,5ок(N,PE)-0,66 кВ ТУ  16.К73.102-2011 (ГОСТ 31996-2012) (Электрокабель)",27.32.13.124.21.1.05.01-0062-000,"Кабель силовой гибкий с медными жилами КГ 5х2,5-660",1000 м
838,"Кабель ППГнг(А)-HF 5х2,5ок(N,PE)-0,66 кВ ТУ 16.К73.102-2011 (ГОСТ 31996-2012) (Электрокабель)",27.32.13.124.21.1.05.01-0062-000,"Кабель силовой гибкий с медными жилами КГ 5х2,5-660",1000 м
839,"Кабель ППГнг(А)-HF 5х2,5ок(N,PE)-0,66 кВ ТУ 16.К73.102-2011 (ГОСТ 31996-2012) (Электрокабель)",27.32.13.124.21.1.05.01-0062-000,"Кабель силовой гибкий с медными жилами КГ 5х2,5-660",1000 м
840,Кабель АПВБШВ 4x95 МС (N) 1кВ (м) Камкабель Толеранс на производство +-10%,27.32.13.124.21.1.05.01-1040-000,Кабель силовой гибкий с медными жилами КГН 4х95-660,1000 м
841,Кабель АПВБШВ 4х95 МС (N) 1кВ (м) Камкабель,27.32.13.124.21.1.05.01-1040-000,Кабель силовой гибкий с медными жилами КГН 4х95-660,1000 м
842,Кабель АПвБшв 4х95 мс N -1 Камкабель Толеранс на производство +-10%,27.32.13.124.21.1.05.01-1040-000,Кабель силовой гибкий с медными жилами КГН 4х95-660,1000 м
843,Кабель АПвБШв-1 4x95 PЭK-PRYSMIAN,27.32.13.124.21.1.05.01-1040-000,Кабель силовой гибкий с медными жилами КГН 4х95-660,1000 м
844,Кабель АПвБШп(г) 4х95 (N) 1кВ АЛЮР / Энергокомплект,27.32.13.124.21.1.05.01-1040-000,Кабель силовой гибкий с медными жилами КГН 4х95-660,1000 м
845,Кабель АВБШвнг(А)-LS 5x10 ОК 1 кВ (м) спец.,27.32.13.124.21.1.05.01-0166-000,Кабель силовой гибкий с медными жилами КГН 5х10-660,1000 м
846,Кабель АВВГ 5x10 OK (N РЕ) 0.66кВ (м) АЛЮР,27.32.13.124.21.1.05.01-0166-000,Кабель силовой гибкий с медными жилами КГН 5х10-660,1000 м
847,Кабель АВВГ 5x25 OK (N РЕ) 0.66кВ (м) АЛЮР,27.32.13.124.21.1.05.01-0168-000,Кабель силовой гибкий с медными жилами КГН 5х25-660,1000 м
848,Кабель АВВГнг(А)-LS 5x25 OK (N РЕ) 0.66кВ (м) АЛЮР 00-00001789,27.32.13.124.21.1.05.01-0168-000,Кабель силовой гибкий с медными жилами КГН 5х25-660,1000 м
849,Кабель АВБШв 5x35,27.32.13.124.21.1.05.01-0169-000,Кабель силовой гибкий с медными жилами КГН 5х35-660,1000 м
850,Кабель H07RN-F 5X4 450/750В ТУ 16.К73.128-2015 (Электрокабель),27.32.13.124.21.1.05.01-0164-000,Кабель силовой гибкий с медными жилами КГН 5х4-660,1000 м
851,Кабель АВВГ 5x4,27.32.13.124.21.1.05.01-0164-000,Кабель силовой гибкий с медными жилами КГН 5х4-660,1000 м
852,Кабель АВВГнг(А)-LS (5х4),27.32.13.124.21.1.05.01-0164-000,Кабель силовой гибкий с медными жилами КГН 5х4-660,1000 м
853,Кабель АВВГнг(А)-LS 5x4 OK (N РЕ) 0.66кВ (м) АЛЮР 00-00001801,27.32.13.124.21.1.05.01-0164-000,Кабель силовой гибкий с медными жилами КГН 5х4-660,1000 м
854,Кабель АВВГнг(А)-LS 5х4 Алюр,27.32.13.124.21.1.05.01-0164-000,Кабель силовой гибкий с медными жилами КГН 5х4-660,1000 м
855,Кабель АВВГнг(А)-LS 5х4 ОК (N PE)  0.66кВ (м) АЛЮР 00-00001801,27.32.13.124.21.1.05.01-0164-000,Кабель силовой гибкий с медными жилами КГН 5х4-660,1000 м
856,Кабель АВВГ 5x6,27.32.13.124.21.1.05.01-0165-000,Кабель силовой гибкий с медными жилами КГН 5х6-660,1000 м
857,Кабель АВВГ 5x6 OK (N РЕ) 0.66кВ (м) АЛЮР,27.32.13.124.21.1.05.01-0165-000,Кабель силовой гибкий с медными жилами КГН 5х6-660,1000 м
858,Кабель АВВГнг(А)-LS 5x6 OK (N РЕ) 0.66кВ (м) АЛЮР 00-00001815,27.32.13.124.21.1.05.01-0165-000,Кабель силовой гибкий с медными жилами КГН 5х6-660,1000 м
859,Кабель АВВГнг(А)-LS 5х6 Алюр,27.32.13.124.21.1.05.01-0165-000,Кабель силовой гибкий с медными жилами КГН 5х6-660,1000 м
860,Кабель АВВГнг(А)-LS 5х6 ОК (N PE)  0.66кВ (м) АЛЮР 00-00001815,27.32.13.124.21.1.05.01-0165-000,Кабель силовой гибкий с медными жилами КГН 5х6-660,1000 м
861,Кабель ВВГнг(А)-LS 5x6,27.32.13.124.21.1.05.01-0165-000,Кабель силовой гибкий с медными жилами КГН 5х6-660,1000 м
862,Кабель ВВГнг(А)-LS 5х6,27.32.13.124.21.1.05.01-0165-000,Кабель силовой гибкий с медными жилами КГН 5х6-660,1000 м
863,"ООО АМГ-Электро Кабель ВВГнг(А)-LS 5x6 ок (N,РЕ) - 0,66 кВ бухта - 100 п.м. 01.472.60.21 22042",27.32.13.124.21.1.05.01-0165-000,Кабель силовой гибкий с медными жилами КГН 5х6-660,1000 м
864,Кабель АВВГнг(А)-LS 5x70 1кВ,27.32.13.124.21.1.05.01-0170-000,Кабель силовой гибкий с медными жилами КГН 5х70-660,1000 м
865,Кабель АВВГнг(А)-LS 5x70 МС (N РЕ) 1 кВ (м) Людиново Л0015255,27.32.13.124.21.1.05.01-0170-000,Кабель силовой гибкий с медными жилами КГН 5х70-660,1000 м
866,Кабель АВВГнг(А)-LS 5x70 МС (N РЕ) 1кВ (м)АЛЮР 00-00001821,27.32.13.124.21.1.05.01-0170-000,Кабель силовой гибкий с медными жилами КГН 5х70-660,1000 м
867,"Контрольный гибкий кабель , не содержащий галогенов КГППнг(А)-HF 7х0,75",27.32.13.124.21.1.02.01-0001-000,Кабель силовой гибкий с медными жилами КГЭ 3х10+1х6+1х6-6000,1000 м
868,Провод силовой ПуГВнг (A)-LSLTx 1x6.0  голубой (100м)ТРТС,27.32.13.124.21.1.02.01-0001-000,Кабель силовой гибкий с медными жилами КГЭ 3х10+1х6+1х6-6000,1000 м
869,Провод силовой ПуГВнг (A)-LSLTx 1x6.0 белый (100м)ТРТС,27.32.13.124.21.1.02.01-0001-000,Кабель силовой гибкий с медными жилами КГЭ 3х10+1х6+1х6-6000,1000 м
870,Провод силовой ПуГВнг (A)-LSLTx 1x6.0 желто-зеленый (100м)ТРТ,27.32.13.124.21.1.02.01-0001-000,Кабель силовой гибкий с медными жилами КГЭ 3х10+1х6+1х6-6000,1000 м
871,Провод силовой ПуГВнг (A)-LSLTx 1x6.0 желто-зеленый (100м)ТРТС,27.32.13.124.21.1.02.01-0001-000,Кабель силовой гибкий с медными жилами КГЭ 3х10+1х6+1х6-6000,1000 м
872,Кабель ААШв-10 3x120 ож (м) Камкабель,27.32.13.124.21.1.02.01-0008-000,Кабель силовой гибкий с медными жилами КГЭ 3х120+1х35+1х10-6000,1000 м
873,Кабель ААШв-10 3х120 Камкабель,27.32.13.124.21.1.02.01-0008-000,Кабель силовой гибкий с медными жилами КГЭ 3х120+1х35+1х10-6000,1000 м
874,Кабель ААШв-10 3х120 ож (м) Камкабель 11Ы63310600K010,27.32.13.124.21.1.02.01-0008-000,Кабель силовой гибкий с медными жилами КГЭ 3х120+1х35+1х10-6000,1000 м
875,"Кабель ААШв-10 3х120 ож (м) Камкабель 11Ы63310600K010 – толеранса не будет, складской",27.32.13.124.21.1.02.01-0008-000,Кабель силовой гибкий с медными жилами КГЭ 3х120+1х35+1х10-6000,1000 м
876,Кабель ААШв-10 3х120 ож (м) Камкабель 11Ы63310600К010,27.32.13.124.21.1.02.01-0008-000,Кабель силовой гибкий с медными жилами КГЭ 3х120+1х35+1х10-6000,1000 м
877,"Кабель ААШв-10 3х120 ож (м)Камкабель 11Ы63310600K010 –толеранса не будет, в наличии",27.32.13.124.21.1.02.01-0008-000,Кабель силовой гибкий с медными жилами КГЭ 3х120+1х35+1х10-6000,1000 м
878,Кабель АСБл-10 3x120 ож (м) Рыбинсккабель,27.32.13.124.21.1.02.01-0008-000,Кабель силовой гибкий с медными жилами КГЭ 3х120+1х35+1х10-6000,1000 м
879,Кабель КГ-ХП 1x35 380/660 Конкорд,27.32.13.124.21.1.02.01-0008-000,Кабель силовой гибкий с медными жилами КГЭ 3х120+1х35+1х10-6000,1000 м
880,Кабель КГтп 1х50,27.32.13.124.21.1.02.01-0009-000,Кабель силовой гибкий с медными жилами КГЭ 3х150+1х50+1х10-6000,1000 м
881,Кабель ВВГнг(А)-LS 1x10 ОК Ж/3 0.66кВ (м) АЛЮР 00-00004989. Срок поставки 3-5 недель,27.32.13.124.21.1.02.01-0003-000,Кабель силовой гибкий с медными жилами КГЭ 3х25+1х10+1х6-6000,1000 м
882,Кабель КГ 1x10,27.32.13.124.21.1.02.01-0003-000,Кабель силовой гибкий с медными жилами КГЭ 3х25+1х10+1х6-6000,1000 м
883,Кабель КГ-ХЛ 1x10 380/660В-2 ТУ 16. КУЗ.05-2021 (ГОСТ 24334-2020) (м) Кольчугино 100000869840030001,27.32.13.124.21.1.02.01-0003-000,Кабель силовой гибкий с медными жилами КГЭ 3х25+1х10+1х6-6000,1000 м
884,Кабель КГ-ХЛ 1х10 380/660В-2 ТУ 16.К73.05-2021 (ГОСТ 24334-2020) (м) Кольчугино 100000869840030001,27.32.13.124.21.1.02.01-0003-000,Кабель силовой гибкий с медными жилами КГЭ 3х25+1х10+1х6-6000,1000 м
885,Кабель КГ 1x16 Цветлит,27.32.13.124.21.1.02.01-0005-000,Кабель силовой гибкий с медными жилами КГЭ 3х50+1х16+1х10-6000,1000 м
886,"Кабель КГтп 1x16-0,66",27.32.13.124.21.1.02.01-0005-000,Кабель силовой гибкий с медными жилами КГЭ 3х50+1х16+1х10-6000,1000 м
887,Кабель КГ 1x25,27.32.13.124.21.1.02.01-0007-000,Кабель силовой гибкий с медными жилами КГЭ 3х95+1х25+1х10-6000,1000 м
888,Кабель КГ 1x25 * наличие в г. Калининград,27.32.13.124.21.1.02.01-0007-000,Кабель силовой гибкий с медными жилами КГЭ 3х95+1х25+1х10-6000,1000 м
889,Кабель КГ 1х25,27.32.13.124.21.1.02.01-0007-000,Кабель силовой гибкий с медными жилами КГЭ 3х95+1х25+1х10-6000,1000 м
890,"Кабель КГтп 1x25-0,66",27.32.13.124.21.1.02.01-0007-000,Кабель силовой гибкий с медными жилами КГЭ 3х95+1х25+1х10-6000,1000 м
891,Провод силовой ПуГВнг (A)-LSLTx 1x25.0 желто-зеленый ТРТС,27.32.13.124.21.1.02.01-0007-000,Кабель силовой гибкий с медными жилами КГЭ 3х95+1х25+1х10-6000,1000 м
892,Провод силовой ПуГВнг(А)-LSLTx 1х25.0 желто-зеленый ТРТС,27.32.13.124.21.1.02.01-0007-000,Кабель силовой гибкий с медными жилами КГЭ 3х95+1х25+1х10-6000,1000 м
893,Провод СИП-2 3x150+1x70-0.6/1 ТУ 16-705.500-2006 и ТТ,27.32.13.112.21.1.06.08-1030-000,Кабель силовой с алюминиевыми жилами ААБл 3х150+1х70-1000,1000 м
894,Провод ПуГВнг(А)-18 1x6 Черный P3K-PRYSMIAN,27.32.13.112.21.1.06.07-0039-000,Кабель силовой с алюминиевыми жилами АВВГ 3х10+1х6-660,1000 м
895,Провод ПуГВнг(А)-LS 1х16 Ж/З 450/750В (м) Цветлит 00-00130618,27.32.13.112.21.1.06.07-0043-000,Кабель силовой с алюминиевыми жилами АВВГ 3х50+1х16-660,1000 м
896,Провод СИП-2 3x50+1*70,27.32.13.112.21.1.06.07-0043-000,Кабель силовой с алюминиевыми жилами АВВГ 3х50+1х16-660,1000 м
897,Провод ПВС 3x1.5 ГОСТ 7399-97,27.32.13.111.21.1.06.09-0054-000,"Кабель силовой с медными жилами ВВГ 3х1,5ок-660",1000 м
898,Провод ПВС 3х1.5 Б (бухта) (м) Альгиз К ФР-00000439,27.32.13.111.21.1.06.09-0054-000,"Кабель силовой с медными жилами ВВГ 3х1,5ок-660",1000 м
899,Провод ПВС 3х1.5 ГОСТ 7399-97,27.32.13.111.21.1.06.09-0054-000,"Кабель силовой с медными жилами ВВГ 3х1,5ок-660",1000 м
900,Провод ПуГВ 1х16 Желт/Зел. Цветлит,27.32.13.111.21.1.06.09-0065-000,Кабель силовой с медными жилами ВВГ 3х25+1х16-660,1000 м
901,Провод ПуГВнг(А) LS 1х16 желто-зел,27.32.13.111.21.1.06.09-0065-000,Кабель силовой с медными жилами ВВГ 3х25+1х16-660,1000 м
902,Провод ПуВнг(А) LS 1х6 желто-зел,27.32.13.111.21.1.06.09-0084-000,"Кабель силовой с медными жилами ВВГнг(A) 1х6,0ок-660",1000 м
903,"Кабель АВВГ Зх2,5ок(М,РЕ)-0,66 ТУ 16-705.499-2010 / ГОСТ 31996-2012",27.32.13.111.21.9.02.02-3228-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х2,5ок(N, PE)-1000",1000 м
904,"Кабель ВБШв 3*1,5ок(N, PE) - 1 ТУ 3500-020-59680332-2010  ГОСТ 31996-2012",27.32.13.111.21.9.02.02-3228-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х2,5ок(N, PE)-1000",1000 м
905,"Кабель ВБШв 3*2,5ок(N, PE) - 0,66 ТУ 3500-020-59680332-2010  ГОСТ 31996-2012",27.32.13.111.21.9.02.02-3228-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х2,5ок(N, PE)-1000",1000 м
906,"Кабель ВБШв 3*2,5ок(N, PE) - 1 ТУ 3500-020-59680332-2010  ГОСТ 31996-2012",27.32.13.111.21.9.02.02-3228-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х2,5ок(N, PE)-1000",1000 м
907,"Кабель ВБШв 5*2,5ок(N, PE) - 0,66 ТУ 3500-020-59680332-2010  ГОСТ 31996-2012",27.32.13.111.21.9.02.02-3228-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х2,5ок(N, PE)-1000",1000 м
908,"Кабель ВВГнг(А)-LS 2*1,5ок(N) - 0,66 ТУ 3500-020-59680332-2010  ГОСТ 31996-2012",27.32.13.111.21.9.02.02-3228-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х2,5ок(N, PE)-1000",1000 м
909,"Кабель ППГнг(А)-HF 3х2,5ок(N, PE) - 0,66",27.32.13.111.21.9.02.02-3228-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х2,5ок(N, PE)-1000",1000 м
910,"Кабель ППГнг(А)-HF 3х2,5ок(N,PE)-0,66 кВ ТУ  16.К73.102-2011 (ГОСТ 31996-2012) (Электрокабель)",27.32.13.111.21.9.02.02-3228-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х2,5ок(N, PE)-1000",1000 м
911,"Кабель ППГнг(А)-HF 3х2,5ок(N,PE)-0,66 кВ ТУ 16.К73.102-2011 (ГОСТ 31996-2012) (Электрокабель)",27.32.13.111.21.9.02.02-3228-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х2,5ок(N, PE)-1000",1000 м
912,"Кабель ППГнг(А)-HF 3х2,5ок(N,PE)-0,66 кВ ТУ 16.К73.102-2011 (ГОСТ 31996-2012) (Электрокабель)",27.32.13.111.21.9.02.02-3228-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х2,5ок(N, PE)-1000",1000 м
913,"Кабель ВВГнг(А)-FRLSLTx 3х10ок(N, PE) - 0,66",27.32.13.111.21.9.02.02-2768-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660",1000 м
914,"Кабель ВВГнг(А)-FRLSLTx 3х25мк(N, PE) - 0,66",27.32.13.111.21.9.02.02-2768-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660",1000 м
915,"Кабель ВВГнг(А)-FRLSLTx 3х4ок(N, PE) - 0,66",27.32.13.111.21.9.02.02-2768-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660",1000 м
916,"Кабель ВВГнг(А)-FRLSLTx 4х4ок(N) - 0,66",27.32.13.111.21.9.02.02-2768-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660",1000 м
917,"Кабель ВВГнг(А)-LS 3*2,5",27.32.13.111.21.9.02.02-2768-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660",1000 м
918,"Кабель ВВГнг(А)-LS 5*2,5 (N, РЕ)",27.32.13.111.21.9.02.02-2768-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660",1000 м
919,"Кабель ВВГнг(А)-LSLTx 1х10ок - 0,66",27.32.13.111.21.9.02.02-2768-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660",1000 м
920,Кабель ВВГнг(А)-LSLTx 1х150мк -1,27.32.13.111.21.9.02.02-2768-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660",1000 м
921,"Кабель ВВГнг(А)-LSLTx 1х16ок - 0,66",27.32.13.111.21.9.02.02-2768-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660",1000 м
922,Кабель ВВГнг(А)-LSLTx 1х240мк -1,27.32.13.111.21.9.02.02-2768-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660",1000 м
923,"Кабель ВВГнг(А)-LSLTx 1х25мк - 0,66",27.32.13.111.21.9.02.02-2768-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660",1000 м
924,"Кабель ВВГнг(А)-LSLTx 1х4ок - 0,66",27.32.13.111.21.9.02.02-2768-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660",1000 м
925,"Кабель ВВГнг(А)-LSLTx 1х6ок - 0,66",27.32.13.111.21.9.02.02-2768-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660",1000 м
926,Кабель ВВГнг(А)-LSLTx 1х70мк - 1,27.32.13.111.21.9.02.02-2768-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660",1000 м
927,"Кабель ВВГнг(А)-LSLTx 2х4ок(N) - 0,66",27.32.13.111.21.9.02.02-2768-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660",1000 м
928,"Кабель ВВГнг(А)-LSLTx 2х6ок(N) - 0,66",27.32.13.111.21.9.02.02-2768-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660",1000 м
929,"Кабель ВВГнг(А)-LSLTx 3х10ок(N, PE) - 0,66",27.32.13.111.21.9.02.02-2768-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660",1000 м
930,"Кабель ВВГнг(А)-LSLTx 3х4ок(N, PE) - 0,66",27.32.13.111.21.9.02.02-2768-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660",1000 м
931,"Кабель ВВГнг(А)-LSLTx 3х6ок(N, PE) - 0,66",27.32.13.111.21.9.02.02-2768-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660",1000 м
932,"Кабель ППГнг(А)-HF 3х4ок(N,PE)-0,66 кВ ТУ 16.К73.102-2011 (ГОСТ 31996-2012) (Электрокабель)",27.32.13.111.21.9.02.02-2768-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660",1000 м
933,Кабель силовой ВВГнг(А)-LS 1х400мк 1кВ (Белый),27.32.13.111.21.9.02.02-2768-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 3х4ок(N, PE)-660",1000 м
934,"Кабель ВВГнг(А)-FRLSLTx 5х10ок(N, PE) - 0,66",27.32.13.111.21.9.02.02-2942-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 5х4ок(N, PE)-660",1000 м
935,"Кабель ВВГнг(А)-FRLSLTx 5х150мс(N, PE) - 1",27.32.13.111.21.9.02.02-2942-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 5х4ок(N, PE)-660",1000 м
936,"Кабель ВВГнг(А)-FRLSLTx 5х16ок(N, PE) - 0,66",27.32.13.111.21.9.02.02-2942-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 5х4ок(N, PE)-660",1000 м
937,"Кабель ВВГнг(А)-FRLSLTx 5х4ок(N, PE) - 0,66",27.32.13.111.21.9.02.02-2942-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 5х4ок(N, PE)-660",1000 м
938,"Кабель ВВГнг(А)-LSLTx 5х10ок(N, PE) - 0,66",27.32.13.111.21.9.02.02-2942-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 5х4ок(N, PE)-660",1000 м
939,"Кабель ВВГнг(А)-LSLTx 5х16ок(N, PE) - 0,66",27.32.13.111.21.9.02.02-2942-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 5х4ок(N, PE)-660",1000 м
940,"Кабель ВВГнг(А)-LSLTx 5х25мк(N, PE) - 0,66",27.32.13.111.21.9.02.02-2942-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 5х4ок(N, PE)-660",1000 м
941,"Кабель ВВГнг(А)-LSLTx 5х35мк(N, PE) - 0,66",27.32.13.111.21.9.02.02-2942-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 5х4ок(N, PE)-660",1000 м
942,"Кабель ВВГнг(А)-LSLTx 5х4ок(N, PE) - 0,66",27.32.13.111.21.9.02.02-2942-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 5х4ок(N, PE)-660",1000 м
943,"Кабель ВВГнг(А)-LSLTx 5х50мк(N, PE) - 0,66",27.32.13.111.21.9.02.02-2942-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 5х4ок(N, PE)-660",1000 м
944,"Кабель ВВГнг(А)-LSLTx 5х70мс(N, PE) - 1",27.32.13.111.21.9.02.02-2942-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 5х4ок(N, PE)-660",1000 м
945,"Кабель АВВГ 5х6ок(М,РЕ)-0,66 ТУ 16-705.499-2010",27.32.13.111.21.9.02.02-2952-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 5х6ок(N, PE)-660",1000 м
946,"Кабель ВВГнг(А)-FRLSLTx 5х6ок(N, PE) - 0,66",27.32.13.111.21.9.02.02-2952-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 5х6ок(N, PE)-660",1000 м
947,"Кабель ВВГнг(А)-LSLTx 5х6ок(N, PE) - 0,66",27.32.13.111.21.9.02.02-2952-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 5х6ок(N, PE)-660",1000 м
948,"Кабель ППГнг(А)-HF 5х6ок(N, PE) - 0,66",27.32.13.111.21.9.02.02-2952-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 5х6ок(N, PE)-660",1000 м
949,"Кабель ППГнг(А)-HF 5х6ок(N,PE)-0,66 кВ ТУ 16.К73.102-2011  (ГОСТ 31996-2012) (Электрокабель)",27.32.13.111.21.9.02.02-2952-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 5х6ок(N, PE)-660",1000 м
950,"Кабель ППГнг(А)-HF 5х6ок(N,PE)-0,66 кВ ТУ 16.К73.102-2011 (ГОСТ 31996-2012) (Электрокабель)",27.32.13.111.21.9.02.02-2952-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 5х6ок(N, PE)-660",1000 м
951,"Кабель ВВГнг(А)-LSLTx 5х95мс(N, PE) - 1",27.32.13.111.21.9.02.02-3300-000,"Кабель силовой с медными жилами ВВГнг(A)-LS 5х95мс(N, PE)-1000",1000 м
952,"NKL 4200A-GY Кабель NIKOLAN F/UTP 4 пары, Кат.5е (Класс D), тест по ISO/IEC, 100МГц, одножильный, ВС (чистая медь), 24AWG (0,50мм), внутренний, PVC нг(А), серый, 305м",27.32.13.152.21.1.04.09-0001-000,"Кабель телефонный однопарный с медными жилами в полиэтиленовой оболочке с полиэтиленовой изоляцией, сечение 2х1,2 мм2",1000 м
